#,Team Name,Easy 1,Easy 2,Easy 3,Easy 4,Easy 5,Medium 1,Medium 2,Medium 3,Medium 4,Medium 5,Hard 1,Hard 2,Hard 3,Hard 4,Hard 5,Total score
72,"test_int
a, b",,,,,,,,,,,,,,,,
73,"TeamsCode Test1
Sean, Winbert Zhang",0,,,,,,,,,,,,,,,0
74,"DarkerThanDark
Pranay Mallik, Kaushal Marimuthu, Krish Agarwal, Robert Liu",,,,,,,,,,,,,,,,
74,"BYTE
Benjamin Hu",,,,,,,,,,,,,,,,
74,"Test1
test",,,,,,,,,,,,,,,,
74,"System32
Eric Tao",,,,,,,,,,,,,,,,
74,"if (bored) {don't}
Adithya Raj",,,,,,,,,,,,,,,,
74,"aspiring ekko main
Eugene Yoon",,,,,,,,,,,,,,,,
74,"Saalik
Saalik Ahmed",,,,,,,,,,,,,,,,
74,"Alex Manens
Alex Manens",,,,,,,,,,,,,,,,
74,"test2
test2",,,,,,,,,,,,,,,,
74,"CircuitPlug
Bowen Yuan",,,,,,,,,,,,,,,,
74,"fuq
fuq you",,,,,,,,,,,,,,,,
74,"Silent Eyes
Belinda Mao",,,,,,,,,,,,,,,,
74,"Solo Squad
Pranav Gupta",,,,,,,,,,,,,,,,
74,"Test team
yy, yyy",,,,,,,,,,,,,,,,
74,"XCamp_sqared
Daniel Wu, Weiming Zhou, Miles Hua",,,,,,,,,,,,,,,,
74,"XCamp_EMCO
Catherine Li, Ella Lan, Maggie Peng, Olivia Xu",,,,,,,,,,,,,,,,
74,"seattle academy team
Peter Walton, Thomas Gust",,,,,,,,,,,,,,,,
91,"Team Everett
Everett Wang",0,0,0,0,,,,,,,,,,,,0
92,"Team1
Indira Mariya",,,,,,,,,,,,,,,,
92,"idk
Ben Asanbekov, Karina Asanbekova",,,,,,,,,,,,,,,,
94,"Foo
Nishant Malpani",,0,,,,,,,,,,,,,,0
94,"Northwestern Accept me plz
Henry ""bubbles"" aka twizone Kam, Ashley Kam wait I mean Kim, Sir Anakin ""Mr. P"" Trotter uwu, JEFFRUWUY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"help
Andrew Chang, Ethan Diec",0,,,0,,,,,,,,,,,,0
97,"The British
Joseph Hidirligil, Nicholas Yesko, Alex Perkins, Aaryan Kadha",,,,,,,,,,,,,,,,
97,"XCamp_EMCO
Ella Lan, Catherine Li, Maggie Peng, Olivia Xu",,,,,,,,,,,,,,,,
97,"Teiseat
Teiseat",,,,,,,,,,,,,,,,
97,"TamedQuadraPanda
Joshua Xie",,,,,,,,,,,,,,,,
101,"SAAS Middle School Python Team
Thomas Gust, Peter Walton",0,0,,,,,,,,,,,,,,0
102,"Arav's team
Arav Ginde",,,,,,,,,,,,,,,,
102,"test
test",,,,,,,,,,,,,,,,
102,"test
test1",,,,,,,,,,,,,,,,
